Sesión 1,Las fracciones y la música,5 min,X,Cuaderno,,,,CE_1; CE_3; CE_5; CE_6; CE_7,CR_1.1; CR_3.1; CR_5.2; CR_6.1; CR_6.2; CR_7.2,,CCL; STEM; CD; CPSAA;CC; CE; CCEC,
Sesión 1,La escritura de la música,20 min,X,Vídeo,,,,CE_1; CE_3; CE_5; CE_6; CE_7,CR_1.1; CR_3.1; CR_5.2; CR_6.1; CR_6.2; CR_7.2,,CCL; STEM; CD; CPSAA;CC; CE; CCEC,https://smartlink.aulaplaneta.com/?permaId=786a916c-64b9-4ab5-bb94-550054c8a7da
Sesión 1,¿Qué sabes sobre? Las fracciones,15 min,X,Actividad autocorregible,,,,CE_1; CE_3; CE_5; CE_6; CE_7,CR_1.1; CR_3.1; CR_5.2; CR_6.1; CR_6.2; CR_7.2,,CCL; STEM; CD; CPSAA;CC; CE; CCEC,https://smartlink.aulaplaneta.com/?permaId=052b9796-9794-4a72-a035-21d417b4c38b
Sesión 1,¿Qué vas a aprender? Las fracciones,10 min,X,Presentación multimedia,,,,CE_1; CE_3; CE_5; CE_6; CE_7,CR_1.1; CR_3.1; CR_5.2; CR_6.1; CR_6.2; CR_7.2,,CCL; STEM; CD; CPSAA;CC; CE; CCEC,https://smartlink.aulaplaneta.com/?permaId=1065982e-f4ba-4942-8ec0-00fcd8877450
Sesión 1,Pauta de observación,,,Documento,,,,CE_1; CE_3; CE_5; CE_6; CE_7,CR_1.1; CR_3.1; CR_5.2; CR_6.1; CR_6.2; CR_7.2,,CCL; STEM; CD; CPSAA;CC; CE; CCEC,https://smartlink.aulaplaneta.com/?permaId=a4c4c9a6-e1b1-4eba-87da-207953c0d5dc
Sesión 1,Diario de aprendizaje,,,Presentación multimedia,,,,CE_1; CE_3; CE_5; CE_6; CE_7,CR_1.1; CR_3.1; CR_5.2; CR_6.1; CR_6.2; CR_7.2,,CCL; STEM; CD; CPSAA;CC; CE; CCEC,https://smartlink.aulaplaneta.com/?permaId=da238ee6-f550-4c18-af80-1a58b2099290
Sesión 2,Dividiendo en partes las figuras musicales,5 min,X,Cuaderno,OB_1; OB_2; OB_4; OB_6; OB_7,SB_A.2.4; SB_D.1.1,CL_1; CL_2; CL_3,CE_1; CE_5; CE_6; CE_7,CR_1.1; CR_1.2; CR_5.2; CR_6.2; CR_7.2,RE_1; RE_2; RE_3; RE_4; RE_5,CCL; STEM;CD; CPSAA;CC; CE; CCEC,
Sesión 2,La duración de las figuras musicales,15 min,X,Animación interactiva,OB_1; OB_2; OB_4; OB_6; OB_7,SB_A.2.4; SB_D.1.1,CL_1; CL_2; CL_3,CE_1; CE_5; CE_6; CE_7,CR_1.1; CR_1.2; CR_5.2; CR_6.2; CR_7.2,RE_1; RE_2; RE_3; RE_4; RE_5,CCL; STEM;CD; CPSAA;CC; CE; CCEC,https://smartlink.aulaplaneta.com/?permaId=c9cacb68-3acd-4360-ae78-0be96f8150a3
Sesión 2,El numerador y el denominador,15 min,X,Cuaderno,OB_1; OB_2; OB_4; OB_6; OB_7,SB_A.2.4; SB_D.1.1,CL_1; CL_2; CL_3,CE_1; CE_5; CE_6; CE_7,CR_1.1; CR_1.2; CR_5.2; CR_6.2; CR_7.2,RE_1; RE_2; RE_3; RE_4; RE_5,CCL; STEM;CD; CPSAA;CC; CE; CCEC,
Sesión 2,Matemáticas manipulativas: interpreta el numerador y denominador de una fracción,15 min,X,Actividad de respuesta abierta,OB_1; OB_2; OB_4; OB_6; OB_7,SB_A.2.4; SB_D.1.1,CL_1; CL_2; CL_3,CE_1; CE_5; CE_6; CE_7,CR_1.1; CR_1.2; CR_5.2; CR_6.2; CR_7.2,RE_1; RE_2; RE_3; RE_4; RE_5,CCL; STEM;CD; CPSAA;CC; CE; CCEC,https://smartlink.aulaplaneta.com/?permaId=0b51e65d-7c6d-4625-9ad6-05a7cb6468f7
Sesión 3,Identifica numeradores y denominadores,5 min,,Actividad autocorregible,OB_1; OB_2; OB_4; OB_6; OB_7,SB_A.2.4; SB_D.1.1,CL_1; CL_2; CL_3,CE_1; CE_5; CE_6; CE_7,CR_1.1; CR_1.2; CR_5.2; CR_6.2; CR_7.2,RE_1; RE_2; RE_3; RE_4; RE_5,CCL; STEM;CD; CPSAA;CC; CE; CCEC,https://smartlink.aulaplaneta.com/?permaId=89cb011f-8e83-4352-bdee-533c04e18f45
Sesión 3,¿De qué fracción se trata?,5 min,X,Actividad autocorregible,OB_1; OB_2; OB_4; OB_6; OB_7,SB_A.2.4; SB_D.1.1,CL_1; CL_2; CL_3,CE_1; CE_5; CE_6; CE_7,CR_1.1; CR_1.2; CR_5.2; CR_6.2; CR_7.2,RE_1; RE_2; RE_3; RE_4; RE_5,CCL; STEM;CD; CPSAA;CC; CE; CCEC,https://smartlink.aulaplaneta.com/?permaId=1792ab32-3c14-4738-93c5-c84d4c95d887
Sesión 3,Escribe fracciones de la vida cotidiana,15 min,,Actividad de respuesta abierta,OB_1; OB_2; OB_4; OB_6; OB_7,SB_A.2.4; SB_D.1.1,CL_1; CL_2; CL_3,CE_1; CE_5; CE_6; CE_7,CR_1.1; CR_1.2; CR_5.2; CR_6.2; CR_7.2,RE_1; RE_2; RE_3; RE_4; RE_5,CCL; STEM;CD; CPSAA;CC; CE; CCEC,https://smartlink.aulaplaneta.com/?permaId=3aa78206-cd53-4d79-98c6-94296feafd67
